"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"68","News Analysis: President Trump ""has shown little evidence over the past three years that his decisions about war an… https://t.co/qOxgOSCNmm",FALSE,948,NA,2020-01-04 18:10:03,TRUE,NA,"1213522996276727808",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",374,FALSE,FALSE,NA,NA
"69","Rep. Jared Golden, a Democrat from a conservative district in Maine, was the only House member to vote for just one… https://t.co/ZT5fvTOAOa",FALSE,140,NA,2020-01-04 17:51:45,TRUE,NA,"1213518394454106114",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",44,FALSE,FALSE,NA,NA
"70","For centuries, Talmud study has been the domain of men. Now, women are using technology and social media to make it… https://t.co/5gQpvxl4s2",FALSE,261,NA,2020-01-04 17:30:00,TRUE,NA,"1213512919754969088",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",58,FALSE,FALSE,NA,NA
"71","The singer Rod Stewart punched a security guard who refused to allow him into an event on New Year's Eve and his 39… https://t.co/eiDUDQi3wm",FALSE,724,NA,2020-01-04 17:10:03,TRUE,NA,"1213507899194060803",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",301,FALSE,FALSE,NA,NA
"72","A number of U.S. military branches have banned TikTok on government-issued smartphones, and some are strongly disco… https://t.co/9ATO8eyjBk",FALSE,588,NA,2020-01-04 16:50:26,TRUE,NA,"1213502960854061056",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",341,FALSE,FALSE,NA,NA
"73","The Australian government has announced a large-scale use of military assets, a deployment not seen since World War… https://t.co/ziZFOjXWsi",FALSE,2419,NA,2020-01-04 16:43:37,TRUE,NA,"1213501245555691520",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",1488,FALSE,FALSE,NA,NA
"74","Sweetgreen — the fast-casual restaurant chain that made salads chic, modular, and eco-conscious — now wants to sell… https://t.co/1ezC6dnR6n",FALSE,173,NA,2020-01-04 16:20:02,TRUE,NA,"1213495309936070656",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",41,FALSE,FALSE,NA,NA
"75","Vice President Mike Pence's claim that General Suleimani helped 10 of the men who would go on to carry out the Sept… https://t.co/jdC1cuupzN",FALSE,23383,NA,2020-01-04 16:04:16,TRUE,NA,"1213491342720086016",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",8286,FALSE,FALSE,NA,NA
"76","If you took a break from politics news over the holidays, here's what you missed about the 2020 presidential race
https://t.co/jTQLz0JIDi",FALSE,114,NA,2020-01-04 15:40:07,FALSE,NA,"1213485266561880065",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",35,FALSE,FALSE,NA,NA
"77","As Iraq held joint funeral services on Saturday for 2 revered military leaders killed in an American drone strike,… https://t.co/9QEhOaKXBN",FALSE,554,NA,2020-01-04 15:20:05,TRUE,NA,"1213480224182165504",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",310,FALSE,FALSE,NA,NA
"78","China abruptly replaced its top representative in Hong Kong on Saturday evening, installing a senior Communist Part… https://t.co/OtAFUBaN9d",FALSE,1216,NA,2020-01-04 15:08:32,TRUE,NA,"1213477318078947329",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",1109,FALSE,FALSE,NA,NA
"79","""We’ve never seen fires like this, not to this extent, not all at once, and the reservoir of animals that could com… https://t.co/0ORPhJcVyk",FALSE,3308,NA,2020-01-04 14:44:52,TRUE,NA,"1213471361890488321",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",2203,FALSE,FALSE,NA,NA
"80","Every season we say it, and every season it’s true: There’s more intriguing television on the way than ever. Here a… https://t.co/9RInStzeqw",FALSE,222,NA,2020-01-04 14:20:06,TRUE,NA,"1213465127648944128",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",41,FALSE,FALSE,NA,NA
"81","In 2015, the New York Times began following 6 people age 85 and up, documenting their journeys through a part of li… https://t.co/6S4mxvMQLN",FALSE,386,NA,2020-01-04 14:00:09,TRUE,NA,"1213460109902458880",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",82,FALSE,FALSE,NA,NA
"82","As we enter Oscar season, our co-chief film critics, @ManohlaDargis and @AOScott, look back on a year of movie nost… https://t.co/phfdQy6dJl",FALSE,154,NA,2020-01-04 13:40:05,TRUE,NA,"1213455058488233984",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",37,FALSE,FALSE,NA,NA
"83","They come in the night: Drones — lots of them — flying in precise formations over the Colorado and Nebraska prairie… https://t.co/D2zuy936TX",FALSE,985,NA,2020-01-04 13:20:02,TRUE,NA,"1213450013730394117",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","nytimes",460,FALSE,FALSE,NA,NA
